individual_id_new,days_since_most_recent_email,days_since_most_recent_open,days_since_most_recent_click,tot_emails_30_days_prior,tot_emails_60_days_prior,tot_emails_90_days_prior,tot_emails_12_mon_prior,tot_emails_24_mon_prior,tot_emails_36_mon_prior,ever_emailed,email_domain_group,ind_fantasy_1y,ind_nbadaily_90d,ind_nbastore_90d,ind_marketing_allstar_1y,ind_events_allstar_1y,ind_nbateamticketoffers_1y,age,age_group,gender,closest_arena_distance,tenure,pre_total_ticket_amt_l12,pre_total_tickets_l12,pre_regular_season_tix,pre_playoffs_tix,pre_tickets_ever,fan_total_amt_l12,fan_total_amt_l24,fan_total_amt_l36,fan_mths_since_last_purch,fan_purch_ever,fan_purch_visa_ind,fan_purch_mc_ind,fan_purch_amex_ind,fan_purch_disc_ind,fan_purch_giftcard_ind,fan_purch_paypal_ind,fan_purch_web_ind,fan_purch_mobile_ind,fan_fav_team,post_retail_response,lp_subscriber,lp_purch_amex_ind,lp_purch_mc_ind,lp_purch_visa_ind,lp_purch_disc_ind,lp_purch_paypal_ind,lp_broadband_plan,lp_auto_renew,arenadis,emaildays,emailopendays,closeteam,pre_total_tickets_cat,tot_emails_90dprior_cat,tot_opens_90dprior_cat,fan_totalamtl24m_cat,mths_since_purch_cat,pre_total_tickets,fan_pmt,fancardcat
1000068179253,398,,,0,0,0,0,9,32,1,Gmail,0,0,0,0,0,0,0,Unknown,U,1.4479981825,64,0,0,0,0,0,0,0,0,63,1,1,0,0,0,0,0,1,0,HEAT,0,0,0,0,0,0,0,0,0,1lt30,5mt360,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000068179562,,,,0,0,0,0,0,0,0,Gmail,0,0,0,0,0,0,0,Unknown,U,1.4479981825,3,0,0,0,0,0,42.99,42.99,42.99,4,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,1gt0lte50,2mt3lt6,0,100000,VISAonly
1000068179742,,,,0,0,0,0,0,0,0,Hotmail,0,0,0,0,0,0,0,Unknown,U,1.4479981825,13,0,0,0,0,0,0,27.95,27.95,14,1,0,0,0,0,0,1,1,0,GSW,0,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,1gt0lte50,4mt12lt24,0,1,PayPal
1000068183421,,,,0,0,0,0,0,0,0,Gmail,0,0,0,0,0,0,32,30s,U,0.704297329,11,0,0,0,0,0,15.95,15.95,15.95,12,1,0,0,1,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,1gt0lte50,3mt6lt12,0,1000,AMEXonly
1000068184982,131,332,386,0,0,0,87,474,494,1,Yahoo,0,0,0,0,0,0,32,30s,M,3.019522399,25,0,0,0,0,0,294.9,447.65,447.65,7,1,1,1,0,0,0,0,0,1,LAKERS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,4mt60lt360,Clippers,0none,0none,0none,2gt50lte10,3mt6lt12,0,110000,CombPmt
1000068193601,,,,0,0,0,0,0,0,0,Yahoo,0,0,0,0,0,0,34,30s,M,7.6524269752,13,0,0,0,0,0,0,79.89,79.89,14,1,1,0,0,0,0,0,1,0,GSW,1,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,2gt50lte10,4mt12lt24,0,100000,VISAonly
1000068196597,,,,0,0,0,0,0,0,0,Gmail,0,0,0,0,0,0,0,Unknown,U,4.4295673916,1,0,0,0,0,0,27.99,27.99,27.99,2,1,1,0,0,0,0,0,1,0,GSW,1,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,1gt0lte50,1lt3,0,100000,VISAonly
1000068196785,400,,,0,0,0,0,2,14,1,AOL,0,0,0,0,0,0,0,Unknown,U,4.4295673916,81,0,0,0,0,0,0,0,0,80,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,1lt30,5mt360,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000068201515,237,,,0,0,0,1,5,18,1,Other,0,0,0,0,0,0,38,30s,M,6.6869521913,65,0,0,0,0,0,0,0,0,65,1,0,0,0,0,0,1,1,0,HEAT,0,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,1,PayPal
1000068205914,,,,0,0,0,0,0,0,0,Yahoo,0,0,0,0,0,0,0,Unknown,U,8.933849159,3,0,0,0,0,0,23.99,23.99,23.99,4,1,0,0,0,0,0,1,1,0,GRIZZLIES,1,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,1gt0lte50,2mt3lt6,0,1,PayPal
